day,group,snail,length,metas,cercs,arena,trial,time.eating,surfacing,bouts,shakes,shake.bout,vid.min,vid.sec,vid.length,distance,sec,mean.vel,vel.var,turn.var
5d,n,pu22,7.2,NA,none,a5,1,1812,8,0,0,NA,63,23,3803,4387.58,3825,1.147079739,0.445,3336.7
5d,n,pu23,8.4,NA,none,a1,1,3748,0,0,0,NA,63,2,3782,614.1,3800,0.161605263,0.0367,5038.1
5d,n,pu24,7.2,NA,none,a10,1,661,7,4,48,12,63,16,3796,4777.2,3815,1.252214941,0.3491,2335.2
5d,n,pu25,7.9,NA,none,a14,2,2563,0,0,0,NA,64,42,3882,1204.1,3905,0.308348271,0.0701,4385.6
5d,n,pu26,7.2,NA,none,a1,1,1107,4,0,0,NA,62,42,3762,3255.1,3780,0.861137566,0.3017,3365
5d,n,pu28,6.1,NA,none,a14,2,200,5,0,0,NA,60,30,3630,6522.4,3650,1.786958904,0.6082,2115.8
5d,n,pu29,6.2,NA,none,a15,2,684,2,0,0,NA,60,27,3627,3831.6,3650,1.049753425,0.3521,2823.3
5d,n,pu30,8.1,NA,none,a8,1,1000,4,0,0,NA,63,5,3785,2129.3,3805,0.559605782,0.1659,3529.2
5d,n,pu31,6.9,NA,none,a6,2,89,7,0,0,NA,60,32,3632,5786.9,3655,1.583283174,0.5675,2441
5d,n,pu32,8,NA,none,a11,1,1242,1,0,0,NA,63,3,3783,503.1,3805,0.132220762,0.0652,4335.9
